,CDL,FONO,LL,TANGO,VBL,Gay (IML+GSV),TOTAL 
10/1/2018,125745.43,208721.01,1016666.58,81782.05,145490.72,339230.34,1910641.38
11/1/2018,121452.78,196566.36,975201.02,76964.80,139912.08,320579.96,1824950.01
12/1/2018,122343.64,190629.33,986640.27,78838.77,142818.97,337922.40,1852488.46
1/1/2019,119522.39,183171.56,947241.56,72817.71,133097.50,331713.37,1784027.79
2/1/2019,115597.51,183646.47,950271.70,74399.15,147625.54,328714.72,1794313.05
3/1/2019,124171.14,206533.69,1032130.44,79381.60,152038.48,357259.27,1951274.86
4/1/2019,121394.50,199498.67,978007.96,74525.07,141291.04,351987.06,1862513.71
5/1/2019,123123.84,205100.96,993601.55,75419.64,140239.89,359116.41,1889363.38
6/1/2019,114377.66,191826.35,936178.28,68651.64,131796.11,339648.56,1779455.45
7/1/2019,120484.19,200512.77,983608.45,72652.19,135330.24,365670.13,1870166.46
8/1/2019,122709.60,191499.08,964810.17,69059.93,130135.77,360946.70,1832884.26
9/1/2019,114067.05,184573.02,916327.47,65573.64,130416.64,353060.53,1755816.28
10/1/2019,118047.82,190664.61,955435.68,67533.29,138491.38,358895.86,1817850.17
11/1/2019,111650.29,177172.88,903514.16,61604.61,129561.71,335251.92,1712932.96
12/1/2019,109683.47,172903.84,905576.50,63286.30,130693.21,356619.29,1731116.33
